ni, nj, var, dt, MaxR, NormR, MaxTrue, NormTrue, NormDelta, MaxDelta, MaxDeltaOdd, MaxDeltaEven
3, 1, 6, 0, 0, 0, 0, 0, 1.13687-13, 1.13687-13, 1.13687-13, 0
5, 1, 10, 0, 2.91038-11, 6.50781-11, 5.82077-11, 8.23181-11, 2.69741-10, 1.34492-10, 1.34492-10, 0
9, 1, 18, 0, 1.45519-11, 2.52047-11, 1.45519-11, 2.05795-11, 1.15349-10, 5.25233-11, 5.25233-11, 0
10, 1, 20, 0, 2.18279-11, 2.41316-11, 4.36557-11, 4.4852-11, 5.67732-10, 2.68983-10, 2.68983-10, 0
15, 1, 30, 0, 7.27596-12, 1.20658-11, 7.27596-12, 1.36121-11, 6.76849-11, 2.81943-11, 2.81943-11, 0
20, 1, 40, 1, 1.45519-11, 1.46652-11, 5.45697-12, 1.48891-11, 1.39505-09, 4.47017-10, 4.47017-10, 0
25, 1, 50, 3, 3.63798-12, 6.03291-12, 3.63798-12, 3.63798-12, 2.11586-10, 6.73026-11, 6.73026-11, 0
30, 1, 60, 4, 3.63798-12, 5.53224-12, 3.63798-12, 4.54747-12, 1.73243-10, 5.54792-11, 5.54792-11, 0
35, 1, 70, 10, 3.63798-12, 7.87646-12, 1.81899-12, 5.38064-12, 4.86724-11, 1.45519-11, 1.45519-11, 0
40, 1, 80, 14, 1.81899-12, 2.80325-12, 3.63798-12, 8.10931-12, 1.37475-09, 3.08319-10, 3.08319-10, 0
45, 1, 90, 16, 3.27418-11, 3.30592-11, 5.45697-12, 6.415-12, 2.95028-09, 7.41238-10, 7.41238-10, 2.02616-15
50, 1, 100, 19, 3.63798-12, 1.02797-11, 7.27596-12, 1.18605-11, 1.38124-10, 3.45608-11, 3.45608-11, 0
60, 1, 120, 31, 4.09273-12, 7.26173-12, 5.00222-12, 1.45927-11, 1.42986-10, 3.81988-11, 3.81988-11, 0
70, 1, 140, 29, 4.09273-12, 9.40514-12, 5.68434-12, 1.82636-11, 1.0542-10, 3.27418-11, 3.27418-11, 2.77556-17
80, 1, 160, 43, 6.36646-12, 1.87982-11, 8.18545-12, 2.06325-11, 1.53208-09, 2.18279-10, 2.18279-10, 8.32667-17
90, 1, 180, 65, 4.54747-12, 1.94511-11, 8.18545-12, 2.65925-11, 3.09995-09, 4.47471-10, 4.47471-10, 5.55112-17
100, 1, 200, 92, 1.45519-11, 3.26527-11, 1.18234-11, 2.61808-11, 1.72913-09, 2.61934-10, 2.61934-10, 0