ni, nj, var, dtJac, IterJac, ConvJac, MaxRJac, NormRJac, MaxTrueJac, NormTrueJac, NormDeltaJac, MaxDeltaJac, MaxDeltaOddJac, MaxDeltaEvenJac, GS, dtGS, IterGS, ConvGS, MaxRGS, NormRGS, MaxTrueGS, NormTrueGS, NormDeltaGS, MaxDeltaGS, MaxDeltaOddGS, MaxDeltaEvenGS, SRS08, dtSRS08, IterSRS08, ConvSRS08, MaxRSRS08, NormRSRS08, MaxTrueSRS08, NormTrueSRS08, NormDeltaSRS08, MaxDeltaSRS08, MaxDeltaOddSRS08, MaxDeltaEvenSRS08, SRS12, dtSRS12, IterSRS12, ConvSRS12, MaxRSRS12, NormRSRS12, MaxTrueSRS12, NormTrueSRS12, NormDeltaSRS12, MaxDeltaSRS12, MaxDeltaOddSRS12, MaxDeltaEvenSRS12
3, 1, 6, 0, 67, 8.24752e-06, 0.0204786, 0.0204828, 0, 0, 0.0300039, 0.0201339, 0.0201339, 7.32747e-15, GS, 0, 34, 8.01151e-06, 0.00994516, 0.0110713, 0, 0, 0.0259545, 0.0199835, 0.0199835, 5.32907e-15, SRS0.8, 0, 50, 8.97985e-06, 0.0154999, 0.0198126, 0, 0, 0.049441, 0.0370509, 0.0370509, 8.6875e-15, SRS1.2, 0, 21, 9.76934e-06, 0.00822725, 0.00847307, 0, 0, 0.015963, 0.0128672, 0.0128672, 3.96905e-15
5, 1, 10, 0, 169, 9.90253e-06, 0.0365109, 0.0425901, 5.82077e-11, 8.23181e-11, 0.161832, 0.0923175, 0.0923175, 2.30593e-13, GS, 0, 85, 9.02198e-06, 0.0179055, 0.0253018, 5.82077e-11, 8.23181e-11, 0.148767, 0.0919718, 0.0919718, 2.03643e-13, SRS0.8, 0, 122, 9.93223e-06, 0.0259267, 0.0423042, 5.82077e-11, 8.23181e-11, 0.254282, 0.154176, 0.154176, 2.90545e-13, SRS1.2, 0, 57, 9.63802e-06, 0.0154812, 0.0184032, 5.82077e-11, 8.23181e-11, 0.0991263, 0.0631441, 0.0631441, 1.70974e-13
9, 1, 18, 1, 489, 9.96364e-06, 0.058673, 0.0884794, 1.45519e-11, 2.05795e-11, 1.07006, 0.480257, 0.480257, 1.17214e-11, GS, 0, 244, 9.76427e-06, 0.0304789, 0.0593852, 1.45519e-11, 2.05795e-11, 1.0567, 0.495438, 0.495438, 1.18057e-11, SRS0.8, 1, 348, 9.97604e-06, 0.0444846, 0.0909998, 1.45519e-11, 2.05795e-11, 1.62851, 0.754368, 0.754368, 1.50742e-11, SRS1.2, 0, 169, 9.87094e-06, 0.025893, 0.0408181, 1.45519e-11, 2.05795e-11, 0.703818, 0.33602, 0.33602, 9.94688e-12
10, 1, 20, 2, 589, 9.96851e-06, 0.0639432, 0.101489, 4.36557e-11, 4.4852e-11, 1.53983, 0.659847, 0.659847, 2.38936e-11, GS, 1, 294, 9.98533e-06, 0.0337217, 0.0696839, 4.36557e-11, 4.4852e-11, 1.5186, 0.676556, 0.676556, 2.45899e-11, SRS0.8, 1, 420, 9.93753e-06, 0.0482181, 0.103716, 4.36557e-11, 4.4852e-11, 2.27007, 1.00026, 1.00026, 3.04496e-11, SRS1.2, 0, 205, 9.76571e-06, 0.0278557, 0.0464224, 4.36557e-11, 4.4852e-11, 0.9855, 0.446358, 0.446358, 2.01786e-11
15, 1, 30, 17, 1186, 9.96127e-06, 0.0868595, 0.168027, 7.27596e-12, 1.36121e-11, 6.66638, 2.38313, 2.38313, 7.07985e-11, GS, 6, 605, 9.93378e-06, 0.045863, 0.118842, 7.27596e-12, 1.36121e-11, 5.69798, 2.08073, 2.08073, 3.82151e-10, SRS0.8, 6, 857, 9.94065e-06, 0.0674006, 0.177682, 7.27596e-12, 1.36121e-11, 8.52941, 3.09096, 3.09096, 4.74046e-10, SRS1.2, 4, 425, 9.876e-06, 0.0385626, 0.0800121, 7.27596e-12, 1.36121e-11, 3.78682, 1.39872, 1.39872, 3.2047e-10
20, 1, 40, 30, 1863, 9.97318e-06, 0.11074, 0.289837, 5.45697e-12, 1.48891e-11, 23.3662, 7.26673, 7.26673, 2.59809e-09, GS, 14, 1000, 9.98454e-06, 0.0578989, 0.176141, 5.45697e-12, 1.48891e-11, 14.8679, 4.70791, 4.70791, 2.72276e-09, SRS0.8, 20, 1408, 9.99814e-06, 0.0861219, 0.263523, 5.45697e-12, 1.48891e-11, 22.2471, 7.00337, 7.00337, 3.37735e-09, SRS1.2, 13, 707, 9.91684e-06, 0.0485714, 0.118072, 5.45697e-12, 1.48891e-11, 9.88911, 3.15891, 3.15891, 2.28218e-09
25, 1, 50, 51, 2626, 9.99786e-06, 0.13503, 0.46014, 3.63798e-12, 3.63798e-12, 59.7991, 16.7037, 16.7037, 1.13858e-08, GS, 37, 1469, 9.99591e-06, 0.0698809, 0.239075, 3.63798e-12, 3.63798e-12, 31.3744, 8.89049, 8.89049, 1.25102e-08, SRS0.8, 40, 2059, 9.98412e-06, 0.103694, 0.356517, 3.63798e-12, 3.63798e-12, 46.7686, 13.1896, 13.1896, 1.5454e-08, SRS1.2, 23, 1043, 9.97382e-06, 0.0584031, 0.160782, 3.63798e-12, 3.63798e-12, 20.9937, 5.99147, 5.99147, 1.0546e-08
30, 1, 60, 107, 3532, 9.98683e-06, 0.158905, 0.608371, 3.63798e-12, 4.54747e-12, 113.616, 29.041, 29.041, 4.15424e-08, GS, 53, 2004, 9.98116e-06, 0.0815965, 0.3067, 3.63798e-12, 4.54747e-12, 57.8032, 14.9563, 14.9563, 4.35081e-08, SRS0.8, 72, 2795, 9.98543e-06, 0.121099, 0.458101, 3.63798e-12, 4.54747e-12, 86.2713, 22.232, 22.232, 5.37419e-08, SRS1.2, 40, 1429, 9.96679e-06, 0.0675364, 0.206165, 3.63798e-12, 4.54747e-12, 38.7286, 10.0816, 10.0816, 3.67559e-08
35, 1, 70, 195, 4539, 9.99478e-06, 0.181941, 0.753282, 1.81899e-12, 5.38064e-12, 191.249, 45.3331, 45.3331, 1.17993e-07, GS, 127, 2597, 9.98392e-06, 0.0932855, 0.379654, 1.81899e-12, 5.38064e-12, 97.2597, 23.3025, 23.3025, 1.25238e-07, SRS0.8, 204, 3606, 9.99315e-06, 0.138231, 0.567007, 1.81899e-12, 5.38064e-12, 145.093, 34.6395, 34.6395, 1.54222e-07, SRS1.2, 94, 1859, 9.98336e-06, 0.0765424, 0.255466, 1.81899e-12, 5.38064e-12, 65.3182, 15.7329, 15.7329, 1.06284e-07
40, 1, 80, 290, 5624, 9.99359e-06, 0.204423, 0.905075, 3.63798e-12, 8.10931e-12, 299.906, 66.5767, 66.5767, 2.87762e-07, GS, 159, 3242, 9.99839e-06, 0.104999, 0.457734, 3.63798e-12, 8.10931e-12, 153.086, 34.3145, 34.3145, 3.13786e-07, SRS0.8, 374, 4484, 9.99267e-06, 0.155432, 0.682145, 3.63798e-12, 8.10931e-12, 227.797, 50.8974, 50.8974, 3.83809e-07, SRS1.2, 228, 2331, 9.97633e-06, 0.0850159, 0.307185, 3.63798e-12, 8.10931e-12, 102.651, 23.1201, 23.1201, 2.66894e-07
45, 1, 90, 786, 6774, 9.99925e-06, 0.226749, 1.0652, 5.45697e-12, 6.415e-12, 446.507, 93.5344, 93.5344, 6.23886e-07, GS, 484, 3937, 9.9879e-06, 0.116321, 0.538724, 5.45697e-12, 6.415e-12, 228.064, 48.2068, 48.2068, 7.0426e-07, SRS0.8, 545, 5421, 9.99722e-06, 0.172495, 0.803571, 5.45697e-12, 6.415e-12, 339.537, 71.5554, 71.5554, 8.566e-07, SRS1.2, 195, 2840, 9.99704e-06, 0.0933916, 0.362742, 5.45697e-12, 6.415e-12, 153.592, 32.6099, 32.6099, 6.04983e-07
50, 1, 100, 551, 7983, 9.99504e-06, 0.248525, 1.23107, 7.27596e-12, 1.18605e-11, 636.876, 126.652, 126.652, 1.22495e-06, GS, 317, 4675, 9.99493e-06, 0.127764, 0.624582, 7.27596e-12, 1.18605e-11, 326.636, 65.5155, 65.5155, 1.45486e-06, SRS0.8, 443, 6412, 9.99747e-06, 0.189267, 0.930062, 7.27596e-12, 1.18605e-11, 485.253, 97.0544, 97.0544, 1.7514e-06, SRS1.2, 229, 3386, 9.99496e-06, 0.101206, 0.420398, 7.27596e-12, 1.18605e-11, 220.093, 44.3324, 44.3324, 1.2598e-06
60, 1, 120, 1694, 10000, 1.21647e-05, 0.352228, 1.91244, 5.00222e-12, 1.45927e-11, 1424.17, 258.783, 258.783, 4.49295e-06, GS, 1152, 6272, 9.99996e-06, 0.150346, 0.807157, 5.00222e-12, 1.45927e-11, 609.139, 111.615, 111.615, 5.10883e-06, SRS0.8, 838, 8534, 9.99785e-06, 0.222261, 1.19804, 5.00222e-12, 1.45927e-11, 901.267, 164.688, 164.688, 5.98929e-06, SRS1.2, 437, 4579, 9.99414e-06, 0.115659, 0.544234, 5.00222e-12, 1.45927e-11, 411.676, 75.7432, 75.7432, 4.52633e-06
70, 1, 140, 1815, 10000, 2.4279e-05, 0.766193, 4.49556, 5.68434e-12, 1.82636e-11, 4555.88, 766.897, 766.897, 2.00382e-05, GS, 2296, 8015, 9.99676e-06, 0.172543, 1.00403, 5.68434e-12, 1.82636e-11, 1033.61, 175.541, 175.541, 1.4779e-05, SRS0.8, 1349, 10000, 1.33081e-05, 0.335593, 1.95715, 5.68434e-12, 1.82636e-11, 2007.88, 340.007, 340.007, 2.21167e-05, SRS1.2, 446, 3377, 0, 1e+200, 1e+200, 5.68434e-12, 1.82636e-11, 1e+200, 1e+200, 1e+200, 1e+200
80, 1, 160, 619, 3404, 0, 1e+200, 1e+200, 8.18545e-12, 2.06325e-11, 1e+200, 1e+200, 1e+200, 1e+200, GS, 2180, 5586, 0, 1e+200, 1e+200, 8.18545e-12, 2.06325e-11, 1e+200, 1e+200, 1e+200, 1e+200, SRS0.8, 2311, 10000, 2.42181e-05, 0.657883, 4.11394, 8.18545e-12, 2.06325e-11, 5521.37, 875.642, 875.642, 9.35918e-05, SRS1.2, 174, 1045, 0, 1e+200, 1e+200, 8.18545e-12, 2.06325e-11, 1e+200, 1e+200, 1e+200, 1e+200
90, 1, 180, 297, 1470, 0, 1e+200, 1e+200, 8.18545e-12, 2.65925e-11, 1e+200, 1e+200, 1e+200, 1e+200, GS, 231, 1092, 0, 1e+200, 1e+200, 8.18545e-12, 2.65925e-11, 1e+200, 1e+200, 1e+200, 1e+200, SRS0.8, 4146, 10000, 3.59815e-05, 1.0485, 6.77697, 8.18545e-12, 2.65925e-11, 11507.4, 1723.2, 1723.2, 0.000284672, SRS1.2, 135, 626, 0, 1e+200, 1e+200, 8.18545e-12, 2.65925e-11, 1e+200, 1e+200, 1e+200, 1e+200
100, 1, 200, 253, 975, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200, GS, 163, 629, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200, SRS0.8, 517, 1978, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200, SRS1.2, 119, 452, 0, 1e+200, 1e+200, 1.18234e-11, 2.61808e-11, 1e+200, 1e+200, 1e+200, 1e+200